+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |150 |       NEW |     READY |
|                 0 |150 |     READY |   RUNNING |
|                 3 |151 |       NEW |     READY |
|                 6 |152 |       NEW |     READY |
|                 9 |153 |       NEW |     READY |
|               100 |150 |   RUNNING |     READY |
|               100 |150 |     READY |   RUNNING |
|               200 |150 |   RUNNING |     READY |
|               200 |150 |     READY |   RUNNING |
|               300 |150 |   RUNNING |TERMINATED |
|               300 |151 |     READY |   RUNNING |
|               320 |151 |   RUNNING |TERMINATED |
|               320 |152 |     READY |   RUNNING |
|               345 |152 |   RUNNING |TERMINATED |
|               345 |153 |     READY |   RUNNING |
|               445 |153 |   RUNNING |     READY |
|               445 |153 |     READY |   RUNNING |
|               545 |153 |   RUNNING |     READY |
|               545 |153 |     READY |   RUNNING |
|               595 |153 |   RUNNING |TERMINATED |
+------------------------------------------------+
